pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the technician in front of the directors affected the stylists .,the technician affected the stylists .,the technician in front of the directors is still the technician .,,,,,,,,,,,,,,
160,entailment,the penciller who talked needed the actors .,the penciller needed the actors .,the penciller who talked is still the penciller .,,,,,,,,,,,,,,
320,entailment,the psychotherapists who the tourist advised needed the chaplain .,the psychotherapists needed the chaplain .,the psychotherapists who the tourist advised are still the psychotherapists .,,,,,,,,,,,,,,
640,entailment,the psychologists and the penciller affected the programmer .,the psychologists affected the programmer .,the psychologists are part of the psychologists and the penciller .,,,,,,,,,,,,,,
800,entailment,the officers recognized the musician and the penciller .,the officers recognized the penciller .,the penciller is part of the musician and the penciller .,,,,,,,,,,,,,,
1120,entailment,the technicians were saw by the stylist .,the stylist saw the technicians .,"saw is the active form of was saw by , so we swap the technicians and the stylist .",,,,,,,,,,,,,,
1280,entailment,the chaplain who the stylists contacted needed the technician .,the stylists contacted the chaplain .,who in who the stylists contacted refers to the chaplain .,,,,,,,,,,,,,,
1600,entailment,the psychotherapists admired the doctors who affected the artist .,the doctors affected the artist .,the doctors is the subject of the relative clause who affected the artist .,,,,,,,,,,,,,,
1760,entailment,the director advised the chaplains who the stylist encouraged .,the stylist encouraged the chaplains .,the chaplains are the object of the relative clause who the stylist encouraged .,,,,,,,,,,,,,,
1920,neutral,the artists in front of the stylists saw the banker .,the stylists saw the artists .,"the artists saw the banker and the artists are in front of the stylists , we do not know whether the stylists saw the artists .",,,,,,,,,,,,,,
2080,neutral,the colorists in front of the sculptors contacted the penciller .,the penciller contacted the colorists .,"the colorists contacted the penciller , we do not know whether the penciller contacted the colorists .",,,,,,,,,,,,,,
2240,neutral,the musician in front of the manager contacted the bankers .,the bankers contacted the manager .,"the musician contacted the bankers and the manager is in front of the musician , we do not know whether the bankers contacted the manager .",,,,,,,,,,,,,,
2560,neutral,the manager recognized the programmer near the musicians .,the programmer recognized the musicians .,"the manager recognized the programmer and the programmer is near the musicians , we do not know whether the programmer recognized the musicians .",,,,,,,,,,,,,,
2720,neutral,the psychologists needed the director in front of the scientists .,the scientists needed the psychologists .,"the psychologists needed the director and the director is in front of the scientists , we do not know whether the scientists needed the psychologists .",,,,,,,,,,,,,,
2880,neutral,the tourists who the banker encouraged saw the colorists .,the banker saw the tourists .,"who in who the banker encouraged refers to the tourists and the tourists saw the colorists , we do not know whether the banker saw the tourists .",,,,,,,,,,,,,,
3040,neutral,the photojournalists who the engineer contacted needed the artists .,the artists needed the photojournalists .,"the photojournalists needed the artists , we do not know whether the artists needed the photojournalists .",,,,,,,,,,,,,,
3200,neutral,the photojournalist who the illustrators admired affected the managers .,the managers admired the illustrators .,"the photojournalist is the object of the relative clause who the illustrators admired and the photojournalist affected the managers , we do not know whether the managers admired the illustrators .",,,,,,,,,,,,,,
3360,neutral,the officer who admired the musician deceived the technician .,the musician deceived the officer .,"the officer is the subject of the relative clause who admired the musician and the officer deceived the technician , we do not know whether the musician deceived the officer .",,,,,,,,,,,,,,
3520,neutral,the musicians who encouraged the counselors contacted the officers .,the officers contacted the musicians .,"the musicians contacted the officers , we do not know whether the officers contacted the musicians .",,,,,,,,,,,,,,
4320,neutral,the psychotherapists saw the manager who the sculptor encouraged .,the manager saw the psychotherapists .,"the psychotherapists saw the manager , we do not know whether the manager saw the psychotherapists .",,,,,,,,,,,,,,
4480,neutral,the athletes encouraged the counselor who the programmers admired .,the counselor encouraged the programmers .,"the counselor is the object of the relative clause who the programmers admired and the athletes encouraged the counselor , we do not know whether the counselor encouraged the programmers .",,,,,,,,,,,,,,
4640,neutral,the bankers needed the chaplains who the engineer affected .,the engineer needed the bankers .,"the chaplains are the object of the relative clause who the engineer affected and the bankers needed the chaplains , we do not know whether the engineer needed the bankers .",,,,,,,,,,,,,,
4800,neutral,the scientist was advised by the illustrators .,the scientist advised the illustrators .,"advised is the active form of was advised by , so the illustrators advised the scientist , we do not know whether the scientist advised the illustrators .",,,,,,,,,,,,,,
4960,neutral,the doctors were contacted by the curator .,the doctors contacted the curator .,"contacted is the active form of were contacted by , so the curator contacted the doctors , we do not know whether the doctors contacted the curator .",,,,,,,,,,,,,,
5120,neutral,the actor and the psychotherapists saw the artist .,the actor saw the psychotherapists .,"the actor saw the artist and the psychotherapists saw the artist , we do not know whether the actor saw the psychotherapists .",,,,,,,,,,,,,,
5440,neutral,the doctor found the actor and the manager .,the actor found the manager .,"the doctor found the actor and the doctor found the manager , we do not know whether the actor found the manager .",,,,,,,,,,,,,,
5600,neutral,the engineer admired the scientists and the penciller .,the penciller admired the scientists .,"the engineer admired the scientists and the engineer admired the penciller , we do not know whether the penciller admired the scientists .",,,,,,,,,,,,,,
5760,neutral,the illustrators recognized the colorist .,the colorist recognized the illustrators .,"the illustrators recognized the colorist , if the illustrators and the colorist are swapped , then we do not know whether the colorist recognized the illustrators .",,,,,,,,,,,,,,
5920,entailment,agreeable actors panicked .,actors panicked .,agreeable actors are still actors .,,,,,,,,,,,,,,
6080,entailment,witty potters advised the psychologists .,potters advised the psychologists .,witty potters are still potters .,,,,,,,,,,,,,,
6240,entailment,the artists left the island .,the artists left .,left the island is still left .,,,,,,,,,,,,,,
6720,entailment,the scientists affected the psychologist who helped the athlete .,the scientists affected the psychologist .,the psychologist who helped the athlete is still the psychologist .,,,,,,,,,,,,,,
6880,entailment,the curators found the pencillers in front of the chaplain .,the curators found the pencillers .,the pencillers in front of the chaplain are still the pencillers .,,,,,,,,,,,,,,
7040,entailment,the doctors and the officers panicked .,the officers panicked .,the officers are part of the doctors and the officers .,,,,,,,,,,,,,,
7360,entailment,the artist admired the potters and the actors .,the artist admired the potters .,the potters are part of the potters and the actors .,,,,,,,,,,,,,,
7520,neutral,the stylist near the tourists ran .,the tourists ran .,"the stylist is near the tourists and the stylist ran , we do not know whether the tourists ran .",,,,,,,,,,,,,,
7680,neutral,the stylists near the doctors deceived the psychologist .,the doctors deceived the psychologist .,"the stylists are near the doctors and the stylists deceived the psychologist , we do not know whether the doctors deceived the psychologist .",,,,,,,,,,,,,,
7840,neutral,the director who found the potter grew .,the potter grew .,"the director who found the potter is still the director , so the director grew and we do not know whether the potter grew .",,,,,,,,,,,,,,
8000,neutral,the colorists who deceived the scientists helped the director .,the scientists helped the director .,"the colorists who deceived the scientists are still the colorists , so the colorists helped the director and we do not know whether the scientists helped the director .",,,,,,,,,,,,,,
8160,neutral,the counselors presented in the school laughed .,the counselors presented in the school .,the counselors were presented in the school and we do not know whether the counselors presented in the school .,,,,,,,,,,,,,,
8480,neutral,the banker needed the actor investigated in the school .,the actor investigated in the school .,the actor was investigated in the school and we do not know whether the actor investigated in the school .,,,,,,,,,,,,,,
8640,neutral,"although the bankers presented , the scientists ran .",the bankers presented the scientists .,"the scientists ran and the bankers presented , we do not know whether the bankers presented the scientists .",,,,,,,,,,,,,,
8800,neutral,"although the stylists studied , the photojournalist admired the programmers .",the stylists studied the photojournalist .,"the photojournalist admired the programmers and the stylists studied , we do not know whether the stylists studied the photojournalist .",,,,,,,,,,,,,,
8960,neutral,the directors believed the potters yelled .,the directors believed the potters .,"the directors believed the potters yelled , we do not know whether the directors believed the person as in the potters .",,,,,,,,,,,,,,
9120,neutral,the colorist believed the manager recognized the counselor .,the colorist believed the manager .,"the colorist believed the manager recognized the counselor , we do not know whether the colorist believed the person as in the manager .",,,,,,,,,,,,,,
9280,entailment,"after the artist ran , the photojournalists worked .",the photojournalists worked .,"the artist ran , so the photojournalists worked .",,,,,,,,,,,,,,
9440,entailment,"since the photojournalists found the manager , the technicians worked .",the technicians worked .,"the photojournalists found the manager , so the technicians worked .",,,,,,,,,,,,,,
9600,entailment,"after the banker agreed , the doctor affected the psychologists .",the doctor affected the psychologists .,"the banker agreed , so the doctor affected the psychologists .",,,,,,,,,,,,,,
9760,entailment,"because the engineers found the manager , the tourist saw the director .",the tourist saw the director .,"the engineers found the manager , so the tourist saw the director .",,,,,,,,,,,,,,
9920,entailment,"in case the photojournalist yelled , the illustrator panicked .",the illustrator panicked .,the past tense panicked suggests the illustrator panicked happened .,,,,,,,,,,,,,,
10080,entailment,"in case the bankers contacted the director , the programmers ran .",the programmers ran .,the past tense ran suggests the programmers ran happened .,,,,,,,,,,,,,,
10240,entailment,"in case the artists panicked , the colorists encouraged the pencillers .",the colorists encouraged the pencillers .,the past tense encouraged the pencillers suggests the colorists encouraged the pencillers happened .,,,,,,,,,,,,,,
10400,entailment,"in case the doctors saw the psychotherapist , the photojournalist encouraged the directors .",the photojournalist encouraged the directors .,the past tense encouraged the psychotherapist suggests the photojournalist encouraged the psychotherapist happened .,,,,,,,,,,,,,,
10560,entailment,"whether or not the musician panicked , the pencillers danced .",the pencillers danced .,the pencillers danced despite the clause whether or not the musician panicked .,,,,,,,,,,,,,,
10720,entailment,"whether or not the directors contacted the artist , the technicians worked .",the technicians worked .,the technicians worked despite the clause whether or not the directors contacted the artist .,,,,,,,,,,,,,,
11040,entailment,"whether or not the illustrator found the musicians , the curators deceived the psychologists .",the curators deceived the psychologists .,the curators deceived the psychologists despite the clause whether or not the illustrator found the musicians .,,,,,,,,,,,,,,
11200,entailment,the actor forgot that the tourist arrived .,the tourist arrived .,"the actor forgot that the tourist arrived , so the tourist arrived happened .",,,,,,,,,,,,,,
11360,entailment,the scientists knew that the officer needed the sculptors .,the officer needed the sculptors .,"the scientists knew that the officer needed the sculptors , so the officer needed the sculptors happened .",,,,,,,,,,,,,,
11520,entailment,"the actors danced , and the technicians yelled .",the actors danced .,and suggests both the actors danced and the technicians yelled .,,,,,,,,,,,,,,
