pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the workers next to the designer disturbed the lyricist .,the workers disturbed the lyricist .,the workers next to the designer are still the workers .,,,,,,,,,,,,,,
1,entailment,the designer next to the engineer disturbed the authors .,the designer disturbed the authors .,the designer next to the engineer is still the designer .,,,,,,,,,,,,,,
160,entailment,the author that ran admired the lawyer .,the author admired the lawyer .,the author that ran is still the author .,,,,,,,,,,,,,,
161,entailment,the musicians that ran avoided the managers .,the musicians avoided the managers .,the musicians that ran are still the musicians .,,,,,,,,,,,,,,
320,entailment,the authors that the students contacted needed the lawyer .,the authors needed the lawyer .,the authors that the students contacted are still the authors .,,,,,,,,,,,,,,
321,entailment,the designer who the essayist mentioned admired the lyricists .,the designer admired the lyricists .,the designer who the essayist mentioned is still the designer .,,,,,,,,,,,,,,
480,entailment,the illustrators who contacted the writers addressed the colorists .,the illustrators addressed the colorists .,the illustrators who contacted the writers are still the illustrators .,,,,,,,,,,,,,,
481,entailment,the author that deceived the professors supported the curator .,the author supported the curator .,the author that deceived the professors is still the author .,,,,,,,,,,,,,,
640,entailment,the banker and the designer disturbed the therapist .,the banker disturbed the therapist .,the banker is part of the banker and the designer .,,,,,,,,,,,,,,
641,entailment,the designers and the engineer admired the dancer .,the designers admired the dancer .,the designers are part of the designers and the engineer .,,,,,,,,,,,,,,
800,entailment,the planners contacted the writers and the administrator .,the planners contacted the administrator .,the administrator is part of the writers and the administrator .,,,,,,,,,,,,,,
801,entailment,the singer mentioned the officer and the dancer .,the singer mentioned the dancer .,the dancer is part of the officer and the dancer .,,,,,,,,,,,,,,
960,entailment,the technician was recognized by the author .,the author recognized the technician .,"recognized is the active form of was recognized by , so we swap the technician and the author .",,,,,,,,,,,,,,
961,entailment,the author was addressed by the designers .,the designers addressed the author .,"addressed is the active form of was addressed by , so we swap the author and the designers .",,,,,,,,,,,,,,
1280,entailment,the photojournalist that the professor recognized supported the engineers .,the professor recognized the photojournalist .,that in that the professor recognized refers to the photojournalist .,,,,,,,,,,,,,,
1281,entailment,the lawyer who the officers admired contacted the sculptor .,the officers admired the lawyer .,who in who the officers admired refers to the lawyer .,,,,,,,,,,,,,,
1440,entailment,the therapist that mentioned the lawyers disturbed the designers .,the therapist mentioned the lawyers .,that in that mentioned the lawyers refers to the therapist .,,,,,,,,,,,,,,
1441,entailment,the stylists who addressed the colorist contacted the sculptor .,the stylists addressed the colorist .,who in who addressed the colorist refers to the stylists .,,,,,,,,,,,,,,
1600,entailment,the dancers needed the lyricists that disturbed the officer .,the lyricists disturbed the officer .,the lyricists is the subject of the relative clause that disturbed the officer .,,,,,,,,,,,,,,
1601,entailment,the professor contacted the manager that addressed the curators .,the manager addressed the curators .,the manager is the subject of the relative clause that addressed the curators .,,,,,,,,,,,,,,
1760,entailment,the photojournalist mentioned the bankers who the technician supported .,the technician supported the bankers .,the bankers are the object of the relative clause who the technician supported .,,,,,,,,,,,,,,
1761,entailment,the essayists disturbed the colorist who the therapist brought .,the therapist brought the colorist .,the colorist is the object of the relative clause who the therapist brought .,,,,,,,,,,,,,,
1920,neutral,the officers near the planners admired the professor .,the planners admired the officers .,"the officers admired the professor and the officers are near the planners , we do not know whether the planners admired the officers .",,,,,,,,,,,,,,
1921,neutral,the sculptors next to the engineer mentioned the designers .,the engineer mentioned the sculptors .,"the sculptors mentioned the designers and the sculptors are next to the engineer , we do not know whether the engineer mentioned the sculptors .",,,,,,,,,,,,,,
2080,neutral,the students by the authors supported the illustrator .,the illustrator supported the students .,"the students supported the illustrator , we do not know whether the illustrator supported the students .",,,,,,,,,,,,,,
2081,neutral,the therapist near the planner disturbed the designers .,the designers disturbed the therapist .,"the therapist disturbed the designers , we do not know whether the designers disturbed the therapist .",,,,,,,,,,,,,,
2240,neutral,the officer by the technicians mentioned the lyricist .,the lyricist mentioned the technicians .,"the officer mentioned the lyricist and the technicians are by the officer , we do not know whether the lyricist mentioned the technicians .",,,,,,,,,,,,,,
2241,neutral,the technicians in front of the worker recognized the manager .,the manager recognized the worker .,"the technicians recognized the manager and the worker is in front of the technicians , we do not know whether the manager recognized the worker .",,,,,,,,,,,,,,
2400,neutral,the athlete disturbed the singers next to the musician .,the singers disturbed the athlete .,"the athlete disturbed the singers , we do not know whether the singers disturbed the athlete .",,,,,,,,,,,,,,
2401,neutral,the colorist mentioned the officers in front of the therapist .,the officers mentioned the colorist .,"the colorist mentioned the officers , we do not know whether the officers mentioned the colorist .",,,,,,,,,,,,,,
2560,neutral,the planners needed the musician next to the sculptor .,the musician needed the sculptor .,"the planners needed the musician and the musician is next to the sculptor , we do not know whether the musician needed the sculptor .",,,,,,,,,,,,,,
2561,neutral,the technicians recognized the essayist behind the bankers .,the essayist recognized the bankers .,"the technicians recognized the essayist and the essayist is behind the bankers , we do not know whether the essayist recognized the bankers .",,,,,,,,,,,,,,
2720,neutral,the manager recognized the curator in front of the athletes .,the athletes recognized the manager .,"the manager recognized the curator and the curator is in front of the athletes , we do not know whether the athletes recognized the manager .",,,,,,,,,,,,,,
2721,neutral,the lyricist avoided the colorist behind the banker .,the banker avoided the lyricist .,"the lyricist avoided the colorist and the colorist is behind the banker , we do not know whether the banker avoided the lyricist .",,,,,,,,,,,,,,
2880,neutral,the author who the officers disturbed avoided the singers .,the officers avoided the author .,"who in who the officers disturbed refers to the author and the author avoided the singers , we do not know whether the officers avoided the author .",,,,,,,,,,,,,,
2881,neutral,the worker that the lawyer supported contacted the colorists .,the lawyer contacted the worker .,"that in that the lawyer supported refers to the worker and the worker contacted the colorists , we do not know whether the lawyer contacted the worker .",,,,,,,,,,,,,,
3040,neutral,the singers who the curator supported addressed the athletes .,the athletes addressed the singers .,"the singers addressed the athletes , we do not know whether the athletes addressed the singers .",,,,,,,,,,,,,,
3041,neutral,the author who the designers addressed deceived the engineers .,the engineers deceived the author .,"the author deceived the engineers , we do not know whether the engineers deceived the author .",,,,,,,,,,,,,,
3200,neutral,the technicians who the planners mentioned avoided the colorists .,the colorists mentioned the planners .,"the technicians are the object of the relative clause who the planners mentioned and the technicians avoided the colorists , we do not know whether the colorists mentioned the planners .",,,,,,,,,,,,,,
3201,neutral,the writers who the illustrator recognized needed the essayists .,the essayists recognized the illustrator .,"the writers are the object of the relative clause who the illustrator recognized and the writers needed the essayists , we do not know whether the essayists recognized the illustrator .",,,,,,,,,,,,,,
