pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the illustrator behind the singers saw the artists .,the illustrator saw the artists .,the illustrator behind the singers is still the illustrator .,,,,,,,,,,,,,,
1,entailment,the scientists behind the programmers addressed the artist .,the scientists addressed the artist .,the scientists behind the programmers are still the scientists .,,,,,,,,,,,,,,
160,entailment,the stylist that resigned thanked the student .,the stylist thanked the student .,the stylist that resigned is still the stylist .,,,,,,,,,,,,,,
161,entailment,the planner that grew introduced the sculptor .,the planner introduced the sculptor .,the planner that grew is still the planner .,,,,,,,,,,,,,,
320,entailment,the technicians that the curators introduced thanked the musician .,the technicians thanked the musician .,the technicians that the curators introduced are still the technicians .,,,,,,,,,,,,,,
321,entailment,the actors that the technician avoided admired the senators .,the actors admired the senators .,the actors that the technician avoided are still the actors .,,,,,,,,,,,,,,
480,entailment,the workers that supported the potters saw the planners .,the workers saw the planners .,the workers that supported the potters are still the workers .,,,,,,,,,,,,,,
481,entailment,the planners that addressed the nurses deceived the psychotherapists .,the planners deceived the psychotherapists .,the planners that addressed the nurses are still the planners .,,,,,,,,,,,,,,
960,entailment,the senator was addressed by the musician .,the musician addressed the senator .,"addressed is the active form of was addressed by , so we swap the senator and the musician .",,,,,,,,,,,,,,
961,entailment,the photographer was admired by the psychotherapists .,the psychotherapists admired the photographer .,"admired is the active form of was admired by , so we swap the photographer and the psychotherapists .",,,,,,,,,,,,,,
1120,entailment,the officers were introduced by the scientists .,the scientists introduced the officers .,"introduced is the active form of was introduced by , so we swap the officers and the scientists .",,,,,,,,,,,,,,
1121,entailment,the officers were deceived by the scientists .,the scientists deceived the officers .,"deceived is the active form of was deceived by , so we swap the officers and the scientists .",,,,,,,,,,,,,,
1280,entailment,the singers that the scientist introduced affected the bakers .,the scientist introduced the singers .,that in that the scientist introduced refers to the singers .,,,,,,,,,,,,,,
1281,entailment,the workers that the senators expected thanked the student .,the senators expected the workers .,that in that the senators expected refers to the workers .,,,,,,,,,,,,,,
1440,entailment,the singers that admired the workers addressed the scientist .,the singers admired the workers .,that in that admired the workers refers to the singers .,,,,,,,,,,,,,,
1441,entailment,the lawyers that admired the programmer thanked the workers .,the lawyers admired the programmer .,that in that admired the programmer refers to the lawyers .,,,,,,,,,,,,,,
1600,entailment,the technicians expected the senator that introduced the therapists .,the senator introduced the therapists .,the senator is the subject of the relative clause that introduced the therapists .,,,,,,,,,,,,,,
1601,entailment,the planners recognized the curators that affected the bankers .,the curators affected the bankers .,the curators is the subject of the relative clause that affected the bankers .,,,,,,,,,,,,,,
1760,entailment,the scientist introduced the therapists that the pencillers affected .,the pencillers affected the therapists .,the therapists are the object of the relative clause that the pencillers affected .,,,,,,,,,,,,,,
1761,entailment,the planners expected the singers that the actors addressed .,the actors addressed the singers .,the singers are the object of the relative clause that the actors addressed .,,,,,,,,,,,,,,
2080,neutral,the technicians behind the planner saw the essayist .,the essayist saw the technicians .,"the technicians saw the essayist , we do not know whether the essayist saw the technicians .",,,,,,,,,,,,,,
2081,neutral,the artist behind the essayists recognized the musicians .,the musicians recognized the artist .,"the artist recognized the musicians , we do not know whether the musicians recognized the artist .",,,,,,,,,,,,,,
2240,neutral,the nurses near the banker deceived the lawyer .,the lawyer deceived the banker .,"the nurses deceived the lawyer and the banker is near the nurses , we do not know whether the lawyer deceived the banker .",,,,,,,,,,,,,,
2241,neutral,the lawyers behind the senators introduced the student .,the student introduced the senators .,"the lawyers introduced the student and the senators are behind the lawyers , we do not know whether the student introduced the senators .",,,,,,,,,,,,,,
2400,neutral,the artists introduced the sculptor behind the stylists .,the sculptor introduced the artists .,"the artists introduced the sculptor , we do not know whether the sculptor introduced the artists .",,,,,,,,,,,,,,
2401,neutral,the curators introduced the planner near the essayist .,the planner introduced the curators .,"the curators introduced the planner , we do not know whether the planner introduced the curators .",,,,,,,,,,,,,,
3200,neutral,the programmers that the illustrator avoided saw the workers .,the workers avoided the illustrator .,"the programmers are the object of the relative clause that the illustrator avoided and the programmers saw the workers , we do not know whether the workers avoided the illustrator .",,,,,,,,,,,,,,
3201,neutral,the psychotherapist that the photographer affected admired the musician .,the musician affected the photographer .,"the psychotherapist is the object of the relative clause that the photographer affected and the psychotherapist admired the musician , we do not know whether the musician affected the photographer .",,,,,,,,,,,,,,
3360,neutral,the artists that saw the potters addressed the sculptor .,the potters addressed the artists .,"the artists are the subject of the relative clause that saw the potters and the artists addressed the sculptor , we do not know whether the potters addressed the artists .",,,,,,,,,,,,,,
3361,neutral,the psychotherapist that avoided the scientists recognized the bankers .,the scientists recognized the psychotherapist .,"the psychotherapist is the subject of the relative clause that avoided the scientists and the psychotherapist recognized the bankers , we do not know whether the scientists recognized the psychotherapist .",,,,,,,,,,,,,,
3680,neutral,the student that avoided the musicians admired the workers .,the workers admired the musicians .,"the student is the subject of the relative clause that avoided the musicians and the student admired the workers , we do not know whether the workers admired the musicians .",,,,,,,,,,,,,,
3681,neutral,the planners that recognized the psychotherapist avoided the essayists .,the essayists avoided the psychotherapist .,"the planners are the subject of the relative clause that recognized the psychotherapist and the planners avoided the essayists , we do not know whether the essayists avoided the psychotherapist .",,,,,,,,,,,,,,
3840,neutral,the therapist avoided the curators that affected the photographers .,the curators avoided the therapist .,"the therapist avoided the curators , we do not know whether the curators avoided the therapist .",,,,,,,,,,,,,,
3841,neutral,the senators introduced the sculptor that addressed the therapist .,the sculptor introduced the senators .,"the senators introduced the sculptor , we do not know whether the sculptor introduced the senators .",,,,,,,,,,,,,,
4000,neutral,the therapist supported the musicians that admired the baker .,the musicians supported the baker .,"the musicians are the subject of the relative clause that admired the baker and the therapist supported the musicians , we do not know whether the musicians supported the baker .",,,,,,,,,,,,,,
4001,neutral,the curator admired the actor that introduced the musician .,the actor admired the musician .,"the actor is the subject of the relative clause that introduced the musician and the curator admired the actor , we do not know whether the actor admired the musician .",,,,,,,,,,,,,,
4160,neutral,the officers recognized the programmer that avoided the students .,the students recognized the officers .,"the programmer is the subject of the relative clause that avoided the students and the officers recognized the programmer , we do not know whether the students recognized the officers .",,,,,,,,,,,,,,
4161,neutral,the bakers addressed the bankers that admired the senators .,the senators addressed the bakers .,"the bankers are the subject of the relative clause that admired the senators and the bakers addressed the bankers , we do not know whether the senators addressed the bakers .",,,,,,,,,,,,,,
