pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the chaplain near the doctor recommended the photographers .,the chaplain recommended the photographers .,,,,,,,,,,,,,,,
1,entailment,the athletes behind the animator mentioned the photographers .,the athletes mentioned the photographers .,,,,,,,,,,,,,,,
2,entailment,the psychotherapists behind the nurse needed the lawyers .,the psychotherapists needed the lawyers .,,,,,,,,,,,,,,,
3,entailment,the senator behind the animators needed the designers .,the senator needed the designers .,,,,,,,,,,,,,,,
4,entailment,the lyricists by the workers offended the chaplains .,the lyricists offended the chaplains .,,,,,,,,,,,,,,,
5,entailment,the worker by the stylist addressed the designer .,the worker addressed the designer .,,,,,,,,,,,,,,,
6,entailment,the senator behind the worker saw the lawyers .,the senator saw the lawyers .,,,,,,,,,,,,,,,
7,entailment,the director in front of the chaplain expected the psychiatrists .,the director expected the psychiatrists .,,,,,,,,,,,,,,,
8,entailment,the animator next to the writer expected the stylists .,the animator expected the stylists .,,,,,,,,,,,,,,,
9,entailment,the chaplains near the artists expected the lawyers .,the chaplains expected the lawyers .,,,,,,,,,,,,,,,
10,entailment,the planner next to the writer encouraged the athletes .,the planner encouraged the athletes .,,,,,,,,,,,,,,,
11,entailment,the chaplains near the designer offended the photographers .,the chaplains offended the photographers .,,,,,,,,,,,,,,,
12,entailment,the chaplain next to the architects addressed the artist .,the chaplain addressed the artist .,,,,,,,,,,,,,,,
13,entailment,the chaplain in front of the planners offended the doctors .,the chaplain offended the doctors .,,,,,,,,,,,,,,,
14,entailment,the athlete by the sculptors recommended the counselor .,the athlete recommended the counselor .,,,,,,,,,,,,,,,
15,entailment,the artist next to the designer offended the technician .,the artist offended the technician .,,,,,,,,,,,,,,,
16,entailment,the photographers behind the planner offended the lawyer .,the photographers offended the lawyer .,,,,,,,,,,,,,,,
17,entailment,the strategists by the directors mentioned the psychotherapists .,the strategists mentioned the psychotherapists .,,,,,,,,,,,,,,,
18,entailment,the animators near the tourists saw the curators .,the animators saw the curators .,,,,,,,,,,,,,,,
19,entailment,the planner near the artists disturbed the curators .,the planner disturbed the curators .,,,,,,,,,,,,,,,
20,entailment,the counselors behind the lawyer needed the therapists .,the counselors needed the therapists .,,,,,,,,,,,,,,,
21,entailment,the chaplain in front of the doctor saw the lyricist .,the chaplain saw the lyricist .,,,,,,,,,,,,,,,
22,entailment,the planners near the workers disturbed the athlete .,the planners disturbed the athlete .,,,,,,,,,,,,,,,
23,entailment,the lawyer in front of the psychotherapists offended the designer .,the lawyer offended the designer .,,,,,,,,,,,,,,,
24,entailment,the worker near the athlete needed the psychiatrist .,the worker needed the psychiatrist .,,,,,,,,,,,,,,,
25,entailment,the animator in front of the architect mentioned the counselor .,the animator mentioned the counselor .,,,,,,,,,,,,,,,
26,entailment,the doctors near the therapists mentioned the nurse .,the doctors mentioned the nurse .,,,,,,,,,,,,,,,
27,entailment,the lawyers in front of the senator disturbed the technician .,the lawyers disturbed the technician .,,,,,,,,,,,,,,,
28,entailment,the tourists by the lyricist disturbed the animators .,the tourists disturbed the animators .,,,,,,,,,,,,,,,
29,entailment,the nurse behind the strategist mentioned the lawyer .,the nurse mentioned the lawyer .,,,,,,,,,,,,,,,
30,entailment,the technician near the athlete saw the architects .,the technician saw the architects .,,,,,,,,,,,,,,,
31,entailment,the lyricist by the technician supported the planners .,the lyricist supported the planners .,,,,,,,,,,,,,,,
32,entailment,the nurses by the psychotherapist encouraged the sculptor .,the nurses encouraged the sculptor .,,,,,,,,,,,,,,,
33,entailment,the planners next to the chaplains addressed the doctor .,the planners addressed the doctor .,,,,,,,,,,,,,,,
34,entailment,the director next to the nurses encouraged the technicians .,the director encouraged the technicians .,,,,,,,,,,,,,,,
35,entailment,the counselors in front of the nurse supported the senators .,the counselors supported the senators .,,,,,,,,,,,,,,,
36,entailment,the counselor near the therapists needed the senator .,the counselor needed the senator .,,,,,,,,,,,,,,,
37,entailment,the potters behind the therapists advised the workers .,the potters advised the workers .,,,,,,,,,,,,,,,
38,entailment,the architects next to the planner offended the curators .,the architects offended the curators .,,,,,,,,,,,,,,,
39,entailment,the photographers near the chaplain offended the worker .,the photographers offended the worker .,,,,,,,,,,,,,,,
40,entailment,the animators by the writer supported the chaplains .,the animators supported the chaplains .,,,,,,,,,,,,,,,
41,entailment,the counselor by the designers addressed the chaplains .,the counselor addressed the chaplains .,,,,,,,,,,,,,,,
42,entailment,the psychotherapist by the architects expected the doctor .,the psychotherapist expected the doctor .,,,,,,,,,,,,,,,
43,entailment,the lawyers next to the nurses mentioned the tourists .,the lawyers mentioned the tourists .,,,,,,,,,,,,,,,
44,entailment,the strategists behind the counselors recommended the technician .,the strategists recommended the technician .,,,,,,,,,,,,,,,
45,entailment,the writers by the senators recommended the sculptor .,the writers recommended the sculptor .,,,,,,,,,,,,,,,
46,entailment,the photographers next to the planners needed the potter .,the photographers needed the potter .,,,,,,,,,,,,,,,
47,entailment,the potter behind the lawyer recommended the artists .,the potter recommended the artists .,,,,,,,,,,,,,,,
48,entailment,the planners behind the director encouraged the stylist .,the planners encouraged the stylist .,,,,,,,,,,,,,,,
49,entailment,the planner next to the technician offended the workers .,the planner offended the workers .,,,,,,,,,,,,,,,
50,entailment,the athletes near the counselors advised the lyricist .,the athletes advised the lyricist .,,,,,,,,,,,,,,,
51,entailment,the counselors behind the technician disturbed the potters .,the counselors disturbed the potters .,,,,,,,,,,,,,,,
52,entailment,the workers near the technician disturbed the therapist .,the workers disturbed the therapist .,,,,,,,,,,,,,,,
53,entailment,the potter behind the technicians advised the athlete .,the potter advised the athlete .,,,,,,,,,,,,,,,
54,entailment,the artist by the lyricist disturbed the chaplains .,the artist disturbed the chaplains .,,,,,,,,,,,,,,,
55,entailment,the designer behind the technician mentioned the architect .,the designer mentioned the architect .,,,,,,,,,,,,,,,
56,entailment,the lyricists behind the sculptor encouraged the tourist .,the lyricists encouraged the tourist .,,,,,,,,,,,,,,,
57,entailment,the psychotherapist by the directors supported the planners .,the psychotherapist supported the planners .,,,,,,,,,,,,,,,
58,entailment,the athlete next to the designer encouraged the writers .,the athlete encouraged the writers .,,,,,,,,,,,,,,,
59,entailment,the therapists by the architects supported the chaplain .,the therapists supported the chaplain .,,,,,,,,,,,,,,,
