pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the chaplain near the doctor recommended the photographers .,the chaplain recommended the photographers .,the chaplain near the doctor is still the chaplain .,,,,,,,,,,,,,,
320,entailment,the designers who the counselors offended disturbed the lyricist .,the designers disturbed the lyricist .,the designers who the counselors offended are still the designers .,,,,,,,,,,,,,,
480,entailment,the stylist that encouraged the sculptors disturbed the potter .,the stylist disturbed the potter .,the stylist that encouraged the sculptors is still the stylist .,,,,,,,,,,,,,,
640,entailment,the therapist and the strategists mentioned the athlete .,the therapist mentioned the athlete .,the therapist is part of the therapist and the strategists .,,,,,,,,,,,,,,
800,entailment,the planners offended the writers and the chaplain .,the planners offended the chaplain .,the chaplain is part of the writers and the chaplain .,,,,,,,,,,,,,,
1120,entailment,the stylists were needed by the therapist .,the therapist needed the stylists .,"needed is the active form of was needed by , so we swap the stylists and the therapist .",,,,,,,,,,,,,,
1280,entailment,the animators that the stylists recommended encouraged the curators .,the stylists recommended the animators .,that in that the stylists recommended refers to the animators .,,,,,,,,,,,,,,
1440,entailment,the architects who offended the senators needed the tourist .,the architects offended the senators .,who in who offended the senators refers to the architects .,,,,,,,,,,,,,,
1600,entailment,the potter recommended the athletes that advised the therapists .,the athletes advised the therapists .,the athletes is the subject of the relative clause that advised the therapists .,,,,,,,,,,,,,,
1760,entailment,the therapists advised the writer that the senator expected .,the senator expected the writer .,the writer is the object of the relative clause that the senator expected .,,,,,,,,,,,,,,
1920,neutral,the nurse behind the writer expected the directors .,the writer expected the nurse .,"the nurse expected the directors and the nurse is behind the writer , we do not know whether the writer expected the nurse .",,,,,,,,,,,,,,
2080,neutral,the strategists by the lyricist offended the lawyers .,the lawyers offended the strategists .,"the strategists offended the lawyers , we do not know whether the lawyers offended the strategists .",,,,,,,,,,,,,,
2240,neutral,the counselors next to the strategists advised the technicians .,the technicians advised the strategists .,"the counselors advised the technicians and the strategists are next to the counselors , we do not know whether the technicians advised the strategists .",,,,,,,,,,,,,,
2400,neutral,the lawyer encouraged the chaplain in front of the planners .,the chaplain encouraged the lawyer .,"the lawyer encouraged the chaplain , we do not know whether the chaplain encouraged the lawyer .",,,,,,,,,,,,,,
2560,neutral,the therapists mentioned the curators in front of the photographer .,the curators mentioned the photographer .,"the therapists mentioned the curators and the curators are in front of the photographer , we do not know whether the curators mentioned the photographer .",,,,,,,,,,,,,,
3040,neutral,the worker who the technicians supported disturbed the counselor .,the counselor disturbed the worker .,"the worker disturbed the counselor , we do not know whether the counselor disturbed the worker .",,,,,,,,,,,,,,
3200,neutral,the photographers who the artist disturbed addressed the doctor .,the doctor disturbed the artist .,"the photographers are the object of the relative clause who the artist disturbed and the photographers addressed the doctor , we do not know whether the doctor disturbed the artist .",,,,,,,,,,,,,,
3680,neutral,the worker that offended the psychiatrists saw the sculptor .,the sculptor saw the psychiatrists .,"the worker is the subject of the relative clause that offended the psychiatrists and the worker saw the sculptor , we do not know whether the sculptor saw the psychiatrists .",,,,,,,,,,,,,,
4000,neutral,the psychiatrist saw the curators that advised the sculptors .,the curators saw the sculptors .,"the curators are the subject of the relative clause that advised the sculptors and the psychiatrist saw the curators , we do not know whether the curators saw the sculptors .",,,,,,,,,,,,,,
4480,neutral,the writers expected the senator who the strategists advised .,the senator expected the strategists .,"the senator is the object of the relative clause who the strategists advised and the writers expected the senator , we do not know whether the senator expected the strategists .",,,,,,,,,,,,,,
4640,neutral,the psychotherapists mentioned the writers who the designers saw .,the designers mentioned the psychotherapists .,"the writers are the object of the relative clause who the designers saw and the psychotherapists mentioned the writers , we do not know whether the designers mentioned the psychotherapists .",,,,,,,,,,,,,,
4800,neutral,the senator was recommended by the potters .,the senator recommended the potters .,"recommended is the active form of was recommended by , so the potters recommended the senator , we do not know whether the senator recommended the potters .",,,,,,,,,,,,,,
4960,neutral,the nurses were offended by the planners .,the nurses offended the planners .,"offended is the active form of were offended by , so the planners offended the nurses , we do not know whether the nurses offended the planners .",,,,,,,,,,,,,,
5280,neutral,the director and the therapist advised the technician .,the therapist advised the director .,"the director advised the technician and the therapist advised the technician , we do not know whether the therapist advised the director .",,,,,,,,,,,,,,
5440,neutral,the potters mentioned the writer and the stylist .,the writer mentioned the stylist .,"the potters mentioned the writer and the potters mentioned the stylist , we do not know whether the writer mentioned the stylist .",,,,,,,,,,,,,,
5600,neutral,the lyricists advised the athlete and the directors .,the directors advised the athlete .,"the lyricists advised the athlete and the lyricists advised the directors , we do not know whether the directors advised the athlete .",,,,,,,,,,,,,,
5920,entailment,serious athletes grew .,athletes grew .,serious athletes are still athletes .,,,,,,,,,,,,,,
6080,entailment,serious lawyers advised the directors .,lawyers advised the directors .,serious lawyers are still lawyers .,,,,,,,,,,,,,,
6240,entailment,the animator left the valley .,the animator left .,left the valley is still left .,,,,,,,,,,,,,,
6400,entailment,the strategist supported the technician that laughed .,the strategist supported the technician .,the technician that laughed is still the technician .,,,,,,,,,,,,,,
6720,entailment,the technician advised the worker that supported the writer .,the technician advised the worker .,the worker that supported the writer is still the worker .,,,,,,,,,,,,,,
6880,entailment,the photographer advised the artists by the worker .,the photographer advised the artists .,the artists by the worker are still the artists .,,,,,,,,,,,,,,
7040,entailment,the tourists and the counselors panicked .,the counselors panicked .,the counselors are part of the tourists and the counselors .,,,,,,,,,,,,,,
