pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the chaplain near the doctor recommended the photographers .,the chaplain recommended the photographers .,,,,,,,,,,,,,,,
320,entailment,the designers who the counselors offended disturbed the lyricist .,the designers disturbed the lyricist .,,,,,,,,,,,,,,,
480,entailment,the stylist that encouraged the sculptors disturbed the potter .,the stylist disturbed the potter .,,,,,,,,,,,,,,,
640,entailment,the therapist and the strategists mentioned the athlete .,the therapist mentioned the athlete .,,,,,,,,,,,,,,,
800,entailment,the planners offended the writers and the chaplain .,the planners offended the chaplain .,,,,,,,,,,,,,,,
1120,entailment,the stylists were needed by the therapist .,the therapist needed the stylists .,,,,,,,,,,,,,,,
1280,entailment,the animators that the stylists recommended encouraged the curators .,the stylists recommended the animators .,,,,,,,,,,,,,,,
1440,entailment,the architects who offended the senators needed the tourist .,the architects offended the senators .,,,,,,,,,,,,,,,
1600,entailment,the potter recommended the athletes that advised the therapists .,the athletes advised the therapists .,,,,,,,,,,,,,,,
1760,entailment,the therapists advised the writer that the senator expected .,the senator expected the writer .,,,,,,,,,,,,,,,
1920,neutral,the nurse behind the writer expected the directors .,the writer expected the nurse .,,,,,,,,,,,,,,,
2080,neutral,the strategists by the lyricist offended the lawyers .,the lawyers offended the strategists .,,,,,,,,,,,,,,,
2240,neutral,the counselors next to the strategists advised the technicians .,the technicians advised the strategists .,,,,,,,,,,,,,,,
2400,neutral,the lawyer encouraged the chaplain in front of the planners .,the chaplain encouraged the lawyer .,,,,,,,,,,,,,,,
2560,neutral,the therapists mentioned the curators in front of the photographer .,the curators mentioned the photographer .,,,,,,,,,,,,,,,
3040,neutral,the worker who the technicians supported disturbed the counselor .,the counselor disturbed the worker .,,,,,,,,,,,,,,,
3200,neutral,the photographers who the artist disturbed addressed the doctor .,the doctor disturbed the artist .,,,,,,,,,,,,,,,
3680,neutral,the worker that offended the psychiatrists saw the sculptor .,the sculptor saw the psychiatrists .,,,,,,,,,,,,,,,
4000,neutral,the psychiatrist saw the curators that advised the sculptors .,the curators saw the sculptors .,,,,,,,,,,,,,,,
4480,neutral,the writers expected the senator who the strategists advised .,the senator expected the strategists .,,,,,,,,,,,,,,,
4640,neutral,the psychotherapists mentioned the writers who the designers saw .,the designers mentioned the psychotherapists .,,,,,,,,,,,,,,,
4800,neutral,the senator was recommended by the potters .,the senator recommended the potters .,,,,,,,,,,,,,,,
4960,neutral,the nurses were offended by the planners .,the nurses offended the planners .,,,,,,,,,,,,,,,
5280,neutral,the director and the therapist advised the technician .,the therapist advised the director .,,,,,,,,,,,,,,,
5440,neutral,the potters mentioned the writer and the stylist .,the writer mentioned the stylist .,,,,,,,,,,,,,,,
5600,neutral,the lyricists advised the athlete and the directors .,the directors advised the athlete .,,,,,,,,,,,,,,,
5920,entailment,serious athletes grew .,athletes grew .,,,,,,,,,,,,,,,
6080,entailment,serious lawyers advised the directors .,lawyers advised the directors .,,,,,,,,,,,,,,,
6240,entailment,the animator left the valley .,the animator left .,,,,,,,,,,,,,,,
6400,entailment,the strategist supported the technician that laughed .,the strategist supported the technician .,,,,,,,,,,,,,,,
6720,entailment,the technician advised the worker that supported the writer .,the technician advised the worker .,,,,,,,,,,,,,,,
6880,entailment,the photographer advised the artists by the worker .,the photographer advised the artists .,,,,,,,,,,,,,,,
7040,entailment,the tourists and the counselors panicked .,the counselors panicked .,,,,,,,,,,,,,,,
7200,entailment,the psychiatrists and the potters offended the technicians .,the potters offended the technicians .,,,,,,,,,,,,,,,
7520,neutral,the writer next to the technician voted .,the technician voted .,,,,,,,,,,,,,,,
7680,neutral,the counselor next to the therapists offended the senators .,the therapists offended the senators .,,,,,,,,,,,,,,,
7840,neutral,the worker who mentioned the psychiatrist grew .,the psychiatrist grew .,,,,,,,,,,,,,,,
8000,neutral,the animator that advised the technicians needed the athlete .,the technicians needed the athlete .,,,,,,,,,,,,,,,
8160,neutral,the director investigated in the library appeared .,the director investigated in the library .,,,,,,,,,,,,,,,
8320,neutral,the lawyer studied in the office needed the writers .,the lawyer studied in the office .,,,,,,,,,,,,,,,
8480,neutral,the lyricist advised the therapist paid in the museum .,the therapist paid in the museum .,,,,,,,,,,,,,,,
8800,neutral,"after the tourist studied , the lawyers saw the therapists .",the tourist studied the lawyers .,,,,,,,,,,,,,,,
8960,neutral,the artists believed the lyricist waited .,the artists believed the lyricist .,,,,,,,,,,,,,,,
9120,neutral,the counselors knew the therapist needed the lyricist .,the counselors knew the therapist .,,,,,,,,,,,,,,,
9280,entailment,"before the sculptors appeared , the architects continued .",the architects continued .,,,,,,,,,,,,,,,
9440,entailment,"after the stylists encouraged the lawyers , the planner appeared .",the planner appeared .,,,,,,,,,,,,,,,
9600,entailment,"although the photographers laughed , the planners recommended the architects .",the planners recommended the architects .,,,,,,,,,,,,,,,
9920,entailment,"in case the designer grew , the tourists voted .",the tourists voted .,,,,,,,,,,,,,,,
10080,entailment,"in case the curator saw the worker , the writers grew .",the writers grew .,,,,,,,,,,,,,,,
10240,entailment,"in case the therapist panicked , the designer supported the athletes .",the designer supported the athletes .,,,,,,,,,,,,,,,
10400,entailment,"in case the technicians mentioned the potter , the animators recommended the photographers .",the animators recommended the photographers .,,,,,,,,,,,,,,,
10560,entailment,"whether or not the sculptor voted , the tourists smiled .",the tourists smiled .,,,,,,,,,,,,,,,
10720,entailment,"whether or not the senator expected the potter , the tourists lay .",the tourists lay .,,,,,,,,,,,,,,,
11040,entailment,"whether or not the potters addressed the planners , the counselors disturbed the doctor .",the counselors disturbed the doctor .,,,,,,,,,,,,,,,
11200,entailment,the psychotherapist learned that the designer panicked .,the designer panicked .,,,,,,,,,,,,,,,
11360,entailment,the director learned that the tourists advised the curator .,the tourists advised the curator .,,,,,,,,,,,,,,,
11520,entailment,"the psychiatrist slept , and the stylist laughed .",the psychiatrist slept .,,,,,,,,,,,,,,,
11680,entailment,"the sculptor smiled , and the psychiatrists saw the psychotherapists .",the sculptor smiled .,,,,,,,,,,,,,,,
11840,entailment,"the senators supported the technicians , and the stylists grew .",the senators supported the technicians .,,,,,,,,,,,,,,,
12000,entailment,"the psychotherapists offended the strategists , and the potter mentioned the chaplain .",the psychotherapists offended the strategists .,,,,,,,,,,,,,,,
12160,entailment,"the animator smiled , and the athletes waited .",the athletes waited .,,,,,,,,,,,,,,,
12320,entailment,"the worker appeared , and the athlete expected the chaplain .",the athlete expected the chaplain .,,,,,,,,,,,,,,,
12640,entailment,"the curators supported the therapists , and the strategists offended the psychiatrists .",the strategists offended the psychiatrists .,,,,,,,,,,,,,,,
12800,entailment,obviously the writer continued .,the writer continued .,,,,,,,,,,,,,,,
12960,entailment,certainly the animator supported the stylist .,the animator supported the stylist .,,,,,,,,,,,,,,,
13120,entailment,without a doubt the counselors slept .,the counselors slept .,,,,,,,,,,,,,,,
13280,entailment,without a doubt the athletes advised the psychotherapists .,the athletes advised the psychotherapists .,,,,,,,,,,,,,,,
13440,entailment,of course the architect continued .,the architect continued .,,,,,,,,,,,,,,,
13600,entailment,of course the lyricist needed the designers .,the lyricist needed the designers .,,,,,,,,,,,,,,,
13760,entailment,"before the planner appeared , the directors panicked .",the planner appeared .,,,,,,,,,,,,,,,
14080,entailment,"after the lawyers expected the potters , the counselor continued .",the lawyers expected the potters .,,,,,,,,,,,,,,,
14240,entailment,"although the senators expected the therapists , the sculptors needed the counselor .",the senators expected the therapists .,,,,,,,,,,,,,,,
14560,neutral,"unless the potters yelled , the senator disturbed the writers .",the senator disturbed the writers .,,,,,,,,,,,,,,,
14720,neutral,"unless the counselors recommended the chaplain , the photographers laughed .",the photographers laughed .,,,,,,,,,,,,,,,
14880,neutral,"if the athlete addressed the animator , the therapists supported the designers .",the therapists supported the designers .,,,,,,,,,,,,,,,
15040,neutral,the potter claimed that the sculptor continued .,the sculptor continued .,,,,,,,,,,,,,,,
15200,neutral,the lyricists hoped that the director disturbed the doctors .,the director disturbed the doctors .,,,,,,,,,,,,,,,
15360,neutral,"the curator yelled , or the potter performed .",the curator yelled .,,,,,,,,,,,,,,,
15520,neutral,"the curators waited , or the animator disturbed the planners .",the curators waited .,,,,,,,,,,,,,,,
15680,neutral,"the lawyer encouraged the therapist , or the designer waited .",the lawyer encouraged the therapist .,,,,,,,,,,,,,,,
15840,neutral,"the sculptor offended the director , or the artists mentioned the therapist .",the sculptor offended the director .,,,,,,,,,,,,,,,
16000,neutral,"the directors yelled , or the photographer smiled .",the photographer smiled .,,,,,,,,,,,,,,,
16160,neutral,"the potters appeared , or the counselor recommended the athlete .",the counselor recommended the athlete .,,,,,,,,,,,,,,,
16320,neutral,"the therapist advised the technician , or the writer waited .",the writer waited .,,,,,,,,,,,,,,,
16480,neutral,"the doctors mentioned the sculptor , or the athletes needed the lawyer .",the athletes needed the lawyer .,,,,,,,,,,,,,,,
