pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the lyricist by the sculptor advised the technician .,the lyricist advised the technician .,the lyricist by the sculptor is still the lyricist .,,,,,,,,,,,,,,
1,entailment,the technicians near the singer offended the counselors .,the technicians offended the counselors .,the technicians near the singer are still the technicians .,,,,,,,,,,,,,,
160,entailment,the illustrator that smiled called the artists .,the illustrator called the artists .,the illustrator that smiled is still the illustrator .,,,,,,,,,,,,,,
161,entailment,the technologist who performed called the actors .,the technologist called the actors .,the technologist who performed is still the technologist .,,,,,,,,,,,,,,
320,entailment,the planners who the technologists contacted advised the senator .,the planners advised the senator .,the planners who the technologists contacted are still the planners .,,,,,,,,,,,,,,
321,entailment,the students who the counselors advised contacted the actor .,the students contacted the actor .,the students who the counselors advised are still the students .,,,,,,,,,,,,,,
480,entailment,the actors who admired the athletes mentioned the engineers .,the actors mentioned the engineers .,the actors who admired the athletes are still the actors .,,,,,,,,,,,,,,
481,entailment,the manager that thanked the photographers affected the stylist .,the manager affected the stylist .,the manager that thanked the photographers is still the manager .,,,,,,,,,,,,,,
640,entailment,the artists and the actors called the counselors .,the artists called the counselors .,the artists are part of the artists and the actors .,,,,,,,,,,,,,,
641,entailment,the sculptors and the athlete mentioned the lyricist .,the sculptors mentioned the lyricist .,the sculptors are part of the sculptors and the athlete .,,,,,,,,,,,,,,
800,entailment,the penciller affected the senator and the presidents .,the penciller affected the presidents .,the presidents are part of the senator and the presidents .,,,,,,,,,,,,,,
801,entailment,the sculptors contacted the singer and the stylists .,the sculptors contacted the stylists .,the stylists are part of the singer and the stylists .,,,,,,,,,,,,,,
1120,entailment,the bakers were admired by the photographers .,the photographers admired the bakers .,"admired is the active form of was admired by , so we swap the bakers and the photographers .",,,,,,,,,,,,,,
1121,entailment,the counselors were contacted by the actor .,the actor contacted the counselors .,"contacted is the active form of was contacted by , so we swap the counselors and the actor .",,,,,,,,,,,,,,
1280,entailment,the athlete that the senator thanked supported the psychotherapist .,the senator thanked the athlete .,that in that the senator thanked refers to the athlete .,,,,,,,,,,,,,,
1281,entailment,the managers that the analysts introduced mentioned the psychotherapists .,the analysts introduced the managers .,that in that the analysts introduced refers to the managers .,,,,,,,,,,,,,,
1440,entailment,the analysts that supported the lyricist affected the writers .,the analysts supported the lyricist .,that in that supported the lyricist refers to the analysts .,,,,,,,,,,,,,,
1441,entailment,the writers who offended the lyricist affected the psychologists .,the writers offended the lyricist .,who in who offended the lyricist refers to the writers .,,,,,,,,,,,,,,
1600,entailment,the lyricists affected the psychotherapists who admired the photographer .,the psychotherapists admired the photographer .,the psychotherapists is the subject of the relative clause who admired the photographer .,,,,,,,,,,,,,,
1601,entailment,the senator affected the artist who introduced the authors .,the artist introduced the authors .,the artist is the subject of the relative clause who introduced the authors .,,,,,,,,,,,,,,
1760,entailment,the author admired the writers that the pencillers called .,the pencillers called the writers .,the writers are the object of the relative clause that the pencillers called .,,,,,,,,,,,,,,
1761,entailment,the penciller supported the analysts that the singers affected .,the singers affected the analysts .,the analysts are the object of the relative clause that the singers affected .,,,,,,,,,,,,,,
1920,neutral,the photographer by the singer admired the engineer .,the singer admired the photographer .,"the photographer admired the engineer and the photographer is by the singer , we do not know whether the singer admired the photographer .",,,,,,,,,,,,,,
1921,neutral,the photographers next to the sculptor offended the psychotherapists .,the sculptor offended the photographers .,"the photographers offended the psychotherapists and the photographers are next to the sculptor , we do not know whether the sculptor offended the photographers .",,,,,,,,,,,,,,
2080,neutral,the planner by the psychologist advised the artists .,the artists advised the planner .,"the planner advised the artists , we do not know whether the artists advised the planner .",,,,,,,,,,,,,,
2081,neutral,the technician behind the analyst supported the planners .,the planners supported the technician .,"the technician supported the planners , we do not know whether the planners supported the technician .",,,,,,,,,,,,,,
2240,neutral,the penciller near the photographer admired the sculptors .,the sculptors admired the photographer .,"the penciller admired the sculptors and the photographer is near the penciller , we do not know whether the sculptors admired the photographer .",,,,,,,,,,,,,,
2241,neutral,the writer by the analysts introduced the counselors .,the counselors introduced the analysts .,"the writer introduced the counselors and the analysts are by the writer , we do not know whether the counselors introduced the analysts .",,,,,,,,,,,,,,
